,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1631128,2022-23,00,1610612743,DEN,22.0,76,6,1181.0,143,289,0.495,34,96,0.354,40,64,0.625,48,133,181,59,41,17,35,101,360
1,1631128,2023-24,00,1610612743,DEN,23.0,82,4,1656.0,222,483,0.46,63,164,0.384,93,134,0.694,79,227,306,132,42,35,55,137,600
2,1631128,2024-25,00,1610612743,DEN,23.0,72,70,2415.0,424,740,0.573,80,202,0.396,162,197,0.822,90,276,366,178,78,36,73,154,1090
