,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1630526,2021-22,00,1610612760,OKC,21.0,49,36,1087.0,134,324,0.414,58,165,0.352,40,54,0.741,75,199,274,49,29,15,39,75,366
1,1630526,2022-23,00,1610612760,OKC,22.0,43,20,814.0,110,248,0.444,37,111,0.333,35,42,0.833,71,109,180,43,24,11,19,71,292
2,1630526,2023-24,00,1610612740,NOP,23.0,39,1,334.0,45,95,0.474,13,39,0.333,12,16,0.75,23,53,76,21,10,4,16,24,115
3,1630526,2024-25,00,1610612740,NOP,24.0,57,6,1024.0,125,270,0.463,45,129,0.349,41,49,0.837,88,167,255,70,33,7,38,68,336
