,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
146,0042300237,218,5,37,2,8:50 PM,6:07,,,Towns Offensive Foul Turnover (P1.T5),,,5,1626157,Karl-Anthony Towns,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,1,0,,,,,,1
147,0042300237,219,1,63,2,8:50 PM,5:52,Caldwell-Pope 21' Fadeaway Jumper (5 PTS) (Jokic 5 AST),,,29 - 38,9,4,203484,Kentavious Caldwell-Pope,1610612743.0,Denver,Nuggets,DEN,4,203999,Nikola Jokić,1610612743.0,Denver,Nuggets,DEN,0,0,,,,,,1
148,0042300237,221,2,66,2,8:51 PM,5:29,,,MISS Anderson 9' Jump Bank Shot,,,5,203937,Kyle Anderson,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1
149,0042300237,222,4,0,2,8:51 PM,5:27,Jokic REBOUND (Off:1 Def:6),,,,,4,203999,Nikola Jokić,1610612743.0,Denver,Nuggets,DEN,0,0,,,,,,0,0,,,,,,1
150,0042300237,223,1,63,2,8:51 PM,5:19,Murray 18' Fadeaway Jumper (19 PTS),,,29 - 40,11,4,1627750,Jamal Murray,1610612743.0,Denver,Nuggets,DEN,0,0,,,,,,0,0,,,,,,1
151,0042300237,224,6,2,2,8:51 PM,5:19,,,Anderson S.FOUL (P1.PN) (C.Blair),,,5,203937,Kyle Anderson,1610612750.0,Minnesota,Timberwolves,MIN,4,1627750,Jamal Murray,1610612743.0,Denver,Nuggets,DEN,1,0,,,,,,1
152,0042300237,226,8,0,2,8:51 PM,5:19,,,SUB: Edwards FOR Conley,,,5,201144,Mike Conley,1610612750.0,Minnesota,Timberwolves,MIN,5,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0
153,0042300237,227,8,0,2,8:51 PM,5:19,,,SUB: Reid FOR Gobert,,,5,203497,Rudy Gobert,1610612750.0,Minnesota,Timberwolves,MIN,5,1629675,Naz Reid,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0
154,0042300237,230,3,10,2,8:52 PM,5:19,Murray Free Throw 1 of 1 (20 PTS),,,29 - 41,12,4,1627750,Jamal Murray,1610612743.0,Denver,Nuggets,DEN,0,0,,,,,,0,0,,,,,,1
155,0042300237,231,2,1,2,8:52 PM,5:03,,,MISS McDaniels 24' 3PT Jump Shot,,,5,1630183,Jaden McDaniels,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1
156,0042300237,232,4,0,2,8:52 PM,5:01,Caldwell-Pope REBOUND (Off:0 Def:1),,,,,4,203484,Kentavious Caldwell-Pope,1610612743.0,Denver,Nuggets,DEN,0,0,,,,,,0,0,,,,,,1
157,0042300237,233,6,1,2,8:52 PM,4:54,,,McDaniels P.FOUL (P3.PN) (C.Blair),,,5,1630183,Jaden McDaniels,1610612750.0,Minnesota,Timberwolves,MIN,4,1627750,Jamal Murray,1610612743.0,Denver,Nuggets,DEN,1,0,,,,,,1
158,0042300237,235,3,11,2,8:53 PM,4:54,Murray Free Throw 1 of 2 (21 PTS),,,29 - 42,13,4,1627750,Jamal Murray,1610612743.0,Denver,Nuggets,DEN,0,0,,,,,,0,0,,,,,,1
159,0042300237,236,8,0,2,8:53 PM,4:54,,,SUB: Alexander-Walker FOR McDaniels,,,5,1630183,Jaden McDaniels,1610612750.0,Minnesota,Timberwolves,MIN,5,1629638,Nickeil Alexander-Walker,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0
160,0042300237,238,3,12,2,8:53 PM,4:54,Murray Free Throw 2 of 2 (22 PTS),,,29 - 43,14,4,1627750,Jamal Murray,1610612743.0,Denver,Nuggets,DEN,0,0,,,,,,0,0,,,,,,1
161,0042300237,239,6,2,2,8:54 PM,4:31,Braun S.FOUL (P1.PN) (C.Blair),,,,,4,1631128,Christian Braun,1610612743.0,Denver,Nuggets,DEN,5,1626157,Karl-Anthony Towns,1610612750.0,Minnesota,Timberwolves,MIN,1,0,,,,,,1
162,0042300237,241,3,11,2,8:54 PM,4:31,,,Towns Free Throw 1 of 2 (7 PTS),30 - 43,13,5,1626157,Karl-Anthony Towns,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,0
163,0042300237,242,8,0,2,8:54 PM,4:31,,,SUB: Gobert FOR Anderson,,,5,203937,Kyle Anderson,1610612750.0,Minnesota,Timberwolves,MIN,5,203497,Rudy Gobert,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0
164,0042300237,244,3,12,2,8:55 PM,4:31,,,Towns Free Throw 2 of 2 (8 PTS),31 - 43,12,5,1626157,Karl-Anthony Towns,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1
165,0042300237,245,1,108,2,8:55 PM,4:17,Gordon 1' Cutting Dunk Shot (4 PTS) (Murray 2 AST),,,31 - 45,14,4,203932,Aaron Gordon,1610612743.0,Denver,Nuggets,DEN,4,1627750,Jamal Murray,1610612743.0,Denver,Nuggets,DEN,0,0,,,,,,1
166,0042300237,247,6,2,2,8:55 PM,4:04,Caldwell-Pope S.FOUL (P2.PN) (D.Guthrie),,,,,4,203484,Kentavious Caldwell-Pope,1610612743.0,Denver,Nuggets,DEN,5,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,1,0,,,,,,1
167,0042300237,249,3,11,2,8:56 PM,4:04,,,Edwards Free Throw 1 of 2 (3 PTS),32 - 45,13,5,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1
168,0042300237,250,3,12,2,8:56 PM,4:04,,,Edwards Free Throw 2 of 2 (4 PTS),33 - 45,12,5,1630162,Anthony Edwards,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1
169,0042300237,251,6,2,2,8:56 PM,3:51,,,Reid S.FOUL (P1.PN) (D.Guthrie),,,5,1629675,Naz Reid,1610612750.0,Minnesota,Timberwolves,MIN,4,1631128,Christian Braun,1610612743.0,Denver,Nuggets,DEN,1,0,,,,,,1
170,0042300237,253,3,11,2,8:57 PM,3:51,MISS Braun Free Throw 1 of 2,,,,,4,1631128,Christian Braun,1610612743.0,Denver,Nuggets,DEN,0,0,,,,,,0,0,,,,,,1
171,0042300237,254,4,1,2,8:57 PM,3:51,NUGGETS Rebound,,,,,2,1610612743,,,,,,0,0,,,,,,0,0,,,,,,1
172,0042300237,255,8,0,2,8:57 PM,3:51,,,SUB: Conley FOR Reid,,,5,1629675,Naz Reid,1610612750.0,Minnesota,Timberwolves,MIN,5,201144,Mike Conley,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0
173,0042300237,257,3,12,2,8:57 PM,3:51,Braun Free Throw 2 of 2 (3 PTS),,,33 - 46,13,4,1631128,Christian Braun,1610612743.0,Denver,Nuggets,DEN,0,0,,,,,,0,0,,,,,,1
174,0042300237,258,2,1,2,8:57 PM,3:37,,,MISS Conley 27' 3PT Jump Shot,,,5,201144,Mike Conley,1610612750.0,Minnesota,Timberwolves,MIN,0,0,,,,,,0,0,,,,,,1
