,MIN,PTS,AST,LEADER
123,8168.0,2678.0,1248.0,NONLEADER
124,2772.0,1237.0,230.0,NONLEADER
125,19901.0,12858.0,3654.0,NONLEADER
126,11208.0,5715.0,565.0,NONLEADER
127,8147.0,3231.0,988.0,NONLEADER
128,12271.0,6542.0,649.0,NONLEADER
129,30444.0,10412.0,1217.0,NONLEADER
130,5397.0,1446.0,277.0,NONLEADER
131,14745.0,7803.0,2718.0,NONLEADER
132,15611.0,5183.0,2312.0,NONLEADER
133,40906.0,25078.0,4823.0,NONLEADER
134,9532.0,3917.0,983.0,NONLEADER
135,28923.0,14519.0,5185.0,NONLEADER
136,2062.0,775.0,144.0,NONLEADER
137,10104.0,3567.0,366.0,NONLEADER
138,16038.0,7284.0,2382.0,NONLEADER
139,9002.0,5394.0,1143.0,NONLEADER
140,22861.0,16239.0,3470.0,NONLEADER
141,297.0,115.0,34.0,NONLEADER
142,8190.0,4180.0,772.0,NONLEADER
143,14377.0,6893.0,977.0,NONLEADER
144,422.0,105.0,46.0,NONLEADER
145,21726.0,11393.0,3437.0,NONLEADER
146,1108.0,367.0,72.0,NONLEADER
147,1095.0,362.0,60.0,NONLEADER
148,18075.0,13186.0,2502.0,NONLEADER
149,11438.0,4758.0,1294.0,NONLEADER
150,19846.0,5835.0,1009.0,NONLEADER
151,17700.0,7545.0,868.0,NONLEADER
152,24991.0,7579.0,4895.0,NONLEADER
153,7759.0,2964.0,500.0,NONLEADER
154,175.0,52.0,14.0,NONLEADER
155,716.0,214.0,81.0,NONLEADER
156,10889.0,4726.0,769.0,NONLEADER
157,1641.0,800.0,91.0,NONLEADER
158,12754.0,4838.0,740.0,NONLEADER
159,4707.0,1529.0,592.0,NONLEADER
160,56.0,19.0,4.0,NONLEADER
161,15799.0,5951.0,3426.0,NONLEADER
162,138.0,32.0,8.0,NONLEADER
163,2.0,0.0,0.0,NONLEADER
164,160.0,47.0,14.0,NONLEADER
165,139.0,34.0,8.0,NONLEADER
166,30851.0,14990.0,2691.0,NONLEADER
167,8511.0,4290.0,754.0,NONLEADER
168,9199.0,5414.0,1038.0,NONLEADER
