,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,1641787,2023-24,00,1610612763,MEM,23.0,4,0,74.0,4,15,0.267,2,8,0.25,0,0,0.0,8,6,14,6,0,1,1,5,10
1,1641787,2023-24,00,1610612765,DET,23.0,13,8,293.0,32,56,0.571,10,24,0.417,17,25,0.68,10,36,46,10,6,4,8,18,91
2,1641787,2023-24,00,0,TOT,23.0,17,8,367.0,36,71,0.507,12,32,0.375,17,25,0.68,18,42,60,16,6,5,9,23,101
3,1641787,2024-25,00,1610612751,BKN,24.0,21,0,501.0,71,164,0.433,16,55,0.291,40,53,0.755,25,60,85,33,16,7,31,39,198
