,FIELD_GOAL_MADE_DIFF,FIELD_GOAL_MISSED_DIFF,FREE_THROW_DIFF,REBOUND_DIFF,TURNOVER_DIFF,FOUL_DIFF
222,1,1,1,1,0,0
223,0,0,0,0,1,1
224,1,0,0,1,0,1
225,0,1,1,0,0,0
226,0,1,1,0,1,0
227,1,0,0,1,0,1
228,0,0,1,0,1,0
229,1,1,0,1,0,0
230,0,0,1,0,0,0
231,1,1,0,1,1,1
232,0,1,1,0,1,0
233,1,0,0,1,0,0
234,0,0,0,0,0,1
235,1,1,0,1,0,0
236,1,0,1,0,1,0
237,0,1,0,1,0,1
238,1,1,0,1,0,0
239,0,0,1,0,1,1
240,1,1,1,1,0,0
241,0,0,0,0,1,1
242,0,1,1,0,0,0
243,1,0,0,1,1,0
244,1,1,0,1,0,0
245,0,0,0,0,1,1
246,1,0,0,1,1,1
247,0,1,1,0,0,0
248,0,1,0,1,1,1
249,0,0,1,0,0,0
250,1,1,0,0,0,1
251,0,0,1,0,1,0
252,0,0,0,0,0,0
253,1,1,1,1,1,0
254,0,1,0,0,1,0
255,1,0,1,1,0,1
256,0,1,1,0,0,0
257,1,0,0,1,1,1
258,0,0,0,0,1,1
259,1,1,1,1,0,0
260,1,0,1,0,0,0
261,0,1,0,1,1,1
262,1,0,0,0,0,0
263,0,1,0,1,1,1
264,1,1,0,1,1,1
265,0,0,1,0,0,0
266,0,0,1,0,1,0
267,0,1,0,1,0,1
268,1,1,0,0,0,1
269,0,0,1,1,1,0
270,0,0,1,1,1,0
271,0,1,0,0,0,1
272,1,1,0,0,0,1
273,0,0,1,1,1,0
274,0,0,1,0,0,0
275,1,1,0,1,1,1
276,0,1,1,0,0,0
277,1,0,0,1,0,1
278,0,1,1,1,0,0
279,0,0,0,0,1,1
280,1,1,1,1,1,0
281,0,0,0,0,0,0
282,0,0,1,1,1,1
283,1,1,0,0,0,0
284,1,1,1,1,0,0
285,0,0,0,0,1,1
286,0,0,1,0,1,0
287,0,1,0,1,0,1
288,1,0,1,0,0,0
289,0,1,0,1,1,1
290,1,0,1,1,1,0
291,0,1,0,0,0,1
292,1,0,1,1,1,0
293,0,1,0,0,0,0
294,1,0,0,0,0,1
295,0,1,0,1,1,0
296,0,1,0,0,0,1
297,1,0,1,1,1,0
298,1,0,0,0,0,0
299,0,1,1,1,1,1
300,1,1,0,1,0,0
301,0,0,1,0,0,0
302,1,0,1,0,0,0
303,0,1,0,1,1,1
304,1,1,0,1,1,1
305,0,0,1,0,0,0
306,0,0,0,0,1,1
307,1,1,1,0,0,0
308,1,0,1,0,0,0
309,0,1,0,1,1,0
310,1,0,0,0,1,1
311,0,1,1,0,0,0
312,0,1,1,1,1,0
313,1,0,0,0,0,1
314,0,1,0,0,0,1
315,0,0,1,1,1,0
316,1,1,0,1,0,1
317,0,0,1,0,1,0
318,1,1,0,1,0,0
319,0,0,1,0,0,0
320,0,1,0,0,1,1
321,1,0,1,1,0,0
322,0,1,0,1,1,1
323,1,0,1,0,0,0
324,1,0,1,1,1,0
325,0,1,0,0,0,1
326,0,1,1,0,1,1
327,1,0,0,1,0,0
328,1,0,1,1,0,0
329,0,1,0,0,1,1
330,1,0,1,0,0,1
331,0,1,0,1,1,0
332,0,0,0,0,1,1
333,1,0,1,1,0,0
334,1,0,1,1,0,0
335,0,1,0,0,1,1
336,0,1,1,1,0,0
337,0,0,0,0,1,1
338,0,0,0,0,1,0
339,1,0,0,1,0,1
340,0,1,1,0,1,0
341,1,0,0,1,0,0
342,1,0,1,0,0,0
343,0,1,0,1,1,1
344,1,1,1,1,0,0
345,0,0,0,0,1,1
346,1,0,1,1,0,0
347,0,1,0,0,1,0
348,1,1,0,0,0,1
349,0,0,1,1,1,0
350,1,0,0,0,1,1
351,0,1,1,1,0,0
352,0,1,0,1,1,1
353,1,0,1,0,0,0
354,1,0,1,0,0,0
355,0,1,0,1,1,1
356,1,0,0,0,0,1
357,0,1,1,1,1,0
358,0,1,0,0,0,0
359,1,0,1,1,1,0
360,0,1,0,0,1,1
361,1,0,1,1,0,0
362,0,0,1,0,0,1
363,0,1,0,1,1,0
364,1,1,1,1,0,0
365,0,0,0,0,1,1
366,1,0,1,0,1,0
367,0,1,0,1,0,1
368,1,0,0,0,0,1
369,0,0,1,1,0,0
370,1,0,1,1,1,0
371,0,1,0,0,0,1
372,0,1,0,0,0,1
373,1,0,0,0,1,0
374,1,0,1,1,0,0
375,0,1,0,0,1,1
376,0,0,1,1,1,0
377,1,1,0,0,0,1
378,1,0,0,0,0,0
379,0,1,1,0,1,0
380,0,1,1,0,1,0
381,1,0,0,1,0,0
382,1,0,0,1,0,0
383,0,1,1,0,1,0
384,1,0,0,0,1,0
385,0,1,1,1,0,1
386,0,1,0,0,1,1
387,0,0,1,1,0,0
388,0,1,0,0,0,1
389,1,0,0,1,1,0
390,1,0,1,1,1,0
391,0,1,0,0,0,1
392,1,0,1,0,0,0
393,0,1,0,1,0,1
394,1,0,0,1,1,0
395,0,1,1,0,0,1
396,1,1,0,0,0,1
397,0,0,1,1,1,0
398,1,0,1,0,0,0
399,0,1,0,1,1,0
400,0,1,0,1,0,0
401,1,0,1,0,1,0
402,1,0,0,1,0,0
403,0,1,1,0,1,0
404,0,1,1,0,0,0
405,1,0,0,1,0,1
406,0,0,1,1,1,1
407,1,1,0,0,0,0
408,1,1,0,0,1,1
409,0,0,1,1,0,0
410,1,0,1,1,0,0
411,0,1,0,0,1,1
412,0,0,0,0,1,1
413,1,1,1,1,0,0
414,0,1,0,0,0,1
415,1,0,1,1,1,0
416,0,1,0,1,1,1
417,1,0,0,0,0,0
418,1,0,0,0,1,0
419,0,1,1,1,0,0
420,1,0,1,1,1,0
421,0,1,0,0,0,0
422,1,0,0,1,1,1
423,0,1,1,0,0,0
424,0,0,1,1,1,1
425,1,1,0,0,0,0
426,1,1,0,1,0,1
427,0,0,1,0,1,0
428,1,0,1,1,0,0
429,0,0,0,0,1,1
430,0,0,0,0,1,1
431,1,1,1,1,0,0
432,0,0,0,1,1,0
433,1,1,1,0,0,1
434,1,0,1,1,1,0
435,0,1,0,0,0,0
436,0,0,1,0,1,0
437,1,1,0,1,0,1
438,1,1,0,1,0,1
439,0,0,1,0,1,0
440,0,1,0,0,0,1
441,1,0,1,1,1,0
442,1,0,0,0,0,0
443,0,1,1,1,1,1
444,0,1,0,0,0,0
445,0,0,0,1,1,0
446,0,1,1,0,0,1
447,1,0,0,1,1,0
448,0,1,0,1,1,0
449,1,0,0,0,0,1
450,0,1,1,1,0,0
451,1,0,0,0,1,1
452,1,0,1,1,0,0
453,0,1,0,0,1,1
454,0,0,0,0,0,1
455,1,0,1,1,1,0
456,1,0,1,0,1,1
457,0,1,0,0,0,0
458,0,0,1,0,0,0
459,1,1,0,1,1,1
460,0,0,1,1,1,1
461,1,1,0,0,0,0
462,1,0,1,0,0,0
463,0,0,0,1,1,1
464,0,1,1,0,0,0
465,1,0,0,0,1,1
466,0,1,0,0,0,1
467,1,0,1,1,1,0
468,1,0,1,0,0,1
469,0,1,0,1,1,0
470,1,1,1,1,0,0
471,0,0,0,0,1,1
472,1,1,1,1,1,0
473,0,0,0,0,0,1
474,1,1,1,1,0,0
475,0,0,0,0,1,1
476,0,0,1,0,1,0
477,1,1,0,1,0,1
478,1,0,0,1,1,1
479,0,1,1,0,0,0
480,0,0,0,0,1,1
481,1,0,1,1,0,0
482,1,0,0,0,1,1
483,0,1,1,1,0,0
484,0,1,0,1,1,0
485,1,0,1,0,0,0
486,1,0,1,1,1,0
487,0,1,0,0,0,0
488,0,1,1,0,0,0
489,1,0,0,1,1,1
490,0,1,1,0,0,0
491,1,0,0,1,1,1
492,1,1,0,1,0,1
493,0,0,1,0,1,0
494,0,1,1,1,0,1
495,0,0,0,0,1,0
496,0,0,0,1,1,1
497,1,1,1,0,0,0
498,0,0,0,1,1,1
499,1,0,1,0,0,0
500,0,1,1,0,0,0
501,1,0,0,1,1,1
502,1,0,1,1,1,1
503,0,1,0,0,0,0
504,1,1,0,0,1,1
505,0,0,1,1,0,0
506,0,1,1,0,0,0
507,1,0,0,1,1,0
508,0,1,0,0,0,0
509,0,0,1,1,1,0
510,1,0,1,0,0,0
511,0,1,0,1,1,1
512,0,1,1,0,0,0
513,1,0,0,1,1,1
514,1,0,1,1,1,0
515,0,1,0,0,0,1
516,0,1,1,1,1,1
517,1,0,0,0,0,0
518,0,1,0,0,1,1
519,1,0,1,1,0,0
520,0,1,1,1,1,0
521,1,0,0,0,0,1
522,0,1,1,0,1,0
523,1,0,0,1,0,1
524,0,1,0,0,1,1
525,1,0,1,1,0,0
526,1,0,1,1,0,0
527,0,1,0,0,1,1
528,0,1,0,1,1,0
529,1,0,0,0,0,0
530,0,1,1,0,0,1
531,1,0,0,1,0,0
532,0,1,0,0,0,1
533,1,0,1,1,1,0
534,1,1,0,0,0,0
535,0,0,1,1,1,0
536,0,1,0,1,1,1
537,1,0,1,0,0,0
538,0,0,1,1,1,0
539,1,1,0,0,0,0
540,0,1,1,0,0,0
541,1,0,0,1,1,1
542,1,0,0,1,1,1
543,0,1,1,0,0,0
544,1,0,0,1,1,0
545,0,1,1,0,0,1
546,1,0,0,0,0,0
547,0,0,0,0,1,1
548,0,0,1,0,0,0
549,0,1,0,1,1,1
550,1,1,0,0,0,0
551,0,0,1,1,1,1
552,0,0,1,0,0,0
553,1,0,0,1,1,1
554,1,0,0,0,0,1
555,0,1,0,0,1,0
556,1,0,0,0,0,1
557,0,1,1,1,1,0
558,1,0,1,0,0,0
559,0,1,0,1,1,0
560,1,0,0,1,1,1
561,0,1,1,0,0,0
562,0,1,1,0,0,0
563,1,0,0,1,1,1
564,0,1,1,0,0,0
565,1,0,0,1,1,1
566,0,1,0,0,1,1
567,1,0,1,1,0,0
568,0,0,1,0,0,0
569,0,1,0,1,1,1
570,1,0,0,1,1,1
571,0,1,1,0,0,0
