,FIELD_GOAL_MADE,FIELD_GOAL_MISSED,FREE_THROW,REBOUND,TURNOVER,FOUL,VIOLATION,SUBSTITUTION,EJECTION,FGA
141,19,32,7,24,8,16,1,17,0,51
142,26,20,14,23,9,7,0,11,0,46
143,22,23,7,17,8,13,0,15,0,45
144,23,23,3,17,5,4,0,12,0,46
145,23,17,6,19,7,7,0,10,0,40
146,16,35,12,34,6,10,0,13,0,51
147,19,23,10,19,6,8,0,11,0,42
148,24,17,13,16,11,6,0,13,0,41
149,25,20,7,19,13,10,0,14,0,45
150,19,26,13,23,5,7,1,10,0,45
151,21,24,8,21,6,10,0,16,0,45
152,24,16,6,19,9,7,1,11,0,40
153,22,17,7,15,11,7,1,11,0,39
154,26,20,11,25,11,10,0,11,0,46
155,20,21,10,13,10,11,2,15,0,41
156,18,19,9,14,11,13,0,11,0,37
157,25,26,11,27,9,9,1,10,0,51
158,16,32,12,20,6,6,0,12,0,48
159,19,24,11,29,12,11,0,8,0,43
160,24,23,17,28,5,11,0,10,0,47
161,20,32,14,21,0,12,1,17,0,52
162,22,23,14,23,6,5,1,12,0,45
163,21,31,9,31,8,11,1,12,0,52
164,23,20,10,22,4,7,0,14,0,43
165,19,30,2,24,7,9,1,13,0,49
166,24,20,7,20,4,7,0,12,0,44
167,20,23,7,20,6,10,1,12,0,43
168,18,36,6,23,7,11,0,13,0,54
169,21,22,11,25,9,8,0,13,0,43
170,18,24,12,20,8,10,1,12,0,42
171,17,21,14,22,9,10,1,13,0,38
172,27,20,10,24,5,12,2,15,0,47
173,16,31,16,21,4,9,0,13,0,47
174,23,21,3,28,12,8,0,16,0,44
175,13,28,6,18,12,5,0,12,0,41
176,24,22,12,22,6,12,1,14,0,46
177,21,24,9,24,8,14,0,10,0,45
178,20,24,7,16,8,12,0,15,0,44
179,22,25,13,26,8,6,1,13,0,47
180,14,33,13,27,8,9,0,19,0,47
181,20,26,13,30,6,10,0,16,0,46
182,29,21,14,26,5,17,0,13,0,50
183,20,24,22,16,4,9,0,13,0,44
184,19,19,4,25,14,10,0,13,0,38
185,25,28,8,21,4,7,1,12,0,53
186,28,19,6,19,3,5,0,12,0,47
187,24,26,8,23,4,6,0,12,0,50
188,21,26,11,21,9,11,0,10,0,47
189,27,22,13,24,5,9,1,7,0,49
190,19,29,15,27,8,11,2,13,0,48
191,20,24,9,21,12,13,0,9,0,44
192,15,25,9,24,11,6,0,10,0,40
193,18,20,5,19,10,6,0,14,0,38
194,24,27,7,21,4,5,0,11,0,51
195,27,23,3,23,4,6,0,11,0,50
196,20,27,10,29,6,9,1,15,0,47
197,16,39,15,37,6,5,1,10,0,55
198,17,22,7,18,7,4,1,13,0,39
199,24,27,4,25,6,6,0,11,0,51
200,20,15,22,21,3,7,1,11,0,35
201,16,27,4,18,7,17,0,14,0,43
202,19,19,12,10,10,12,0,12,0,38
203,26,18,9,20,12,11,0,10,0,44
204,24,22,7,21,4,9,0,11,0,46
205,24,19,8,20,7,9,0,11,0,43
206,19,23,13,23,7,8,0,11,0,42
207,20,24,13,18,4,10,0,11,0,44
208,24,25,12,21,7,6,0,13,0,49
209,25,23,5,24,11,11,1,13,0,48
210,27,28,4,25,6,9,0,12,0,55
211,21,21,7,22,11,6,0,12,0,42
212,17,21,17,23,9,9,0,12,0,38
213,16,30,8,21,8,12,0,14,0,46
214,26,21,12,18,4,10,0,16,0,47
215,21,18,19,20,11,10,1,12,0,39
216,25,27,9,25,2,3,0,10,0,52
217,22,22,3,20,8,9,0,12,0,44
218,27,21,9,26,6,15,0,16,0,48
219,16,23,16,17,7,8,0,14,0,39
220,21,28,10,25,8,14,0,17,0,49
221,20,23,21,20,4,14,0,12,0,43
222,19,30,7,28,6,6,0,11,0,49
223,18,29,4,26,9,8,1,13,0,47
224,24,26,9,29,5,11,0,11,0,50
225,19,28,14,23,5,7,1,12,0,47
226,18,25,12,22,7,11,1,17,0,43
227,23,23,11,25,6,12,1,12,0,46
228,18,22,7,22,7,8,1,12,0,40
229,20,31,6,27,1,8,1,12,0,51
230,20,20,19,19,6,11,0,10,0,40
231,22,26,12,23,7,15,0,18,0,48
232,17,26,7,17,10,9,0,10,0,43
233,27,17,5,21,7,9,1,9,0,44
234,23,15,20,16,12,15,1,13,0,38
235,24,24,20,24,12,13,1,14,0,48
236,23,20,12,19,7,10,1,14,0,43
237,22,26,9,22,4,13,0,13,0,48
238,27,22,13,26,5,12,0,16,0,49
239,15,21,19,18,9,18,1,13,0,36
240,23,26,11,26,2,6,0,11,0,49
241,19,24,6,24,5,9,0,11,0,43
242,22,27,8,22,4,6,0,12,0,49
243,23,24,6,29,9,6,0,12,0,47
244,26,31,9,30,4,7,1,13,0,57
245,23,19,9,19,6,9,1,11,0,42
246,21,24,10,29,8,16,1,14,0,45
247,13,30,22,21,4,10,0,10,0,43
248,25,26,4,17,7,11,1,15,0,51
249,25,14,15,14,6,5,1,10,0,39
250,19,27,10,22,5,12,2,13,0,46
251,18,19,15,22,9,9,0,13,0,37
252,21,24,14,18,6,12,0,12,0,45
253,22,26,17,32,8,12,1,13,0,48
254,18,29,6,23,9,7,0,13,0,47
255,20,27,10,28,6,10,0,12,0,47
256,17,27,9,18,5,7,0,13,0,44
257,22,18,7,21,8,9,1,11,0,40
258,19,19,16,15,9,15,1,13,0,38
259,21,24,21,25,6,14,1,11,0,45
260,22,23,21,23,2,12,1,14,0,45
261,17,26,16,26,9,16,1,15,0,43
262,25,23,8,17,3,5,0,12,0,48
263,18,24,8,26,12,6,0,11,0,42
264,19,34,5,38,9,8,0,15,0,53
265,15,30,9,20,5,5,0,10,0,45
266,19,20,13,22,9,8,2,14,0,39
267,19,30,12,28,8,16,0,16,0,49
268,25,27,10,21,4,11,0,15,0,52
269,19,25,15,29,11,10,0,14,0,44
270,21,20,16,27,8,7,0,12,0,41
271,21,25,9,13,1,11,0,11,0,46
272,20,29,4,21,8,12,0,15,0,49
273,17,23,12,25,10,9,0,13,0,40
274,17,28,14,28,4,4,1,11,0,45
275,21,30,6,31,6,10,0,14,0,51
276,17,28,10,23,6,7,0,13,0,45
277,21,26,6,26,6,8,1,11,0,47
278,22,23,15,21,5,8,2,9,0,45
279,22,22,8,18,7,12,0,9,0,44
280,26,23,14,24,7,9,0,9,0,49
281,23,21,11,14,6,9,2,12,0,44
282,18,28,9,30,10,10,1,13,0,46
283,21,31,8,24,3,9,1,11,0,52
284,26,24,7,18,2,7,0,10,0,50
285,23,19,5,17,7,13,0,16,0,42
286,21,21,4,20,4,6,0,8,0,42
287,21,27,3,22,2,7,0,7,0,48
288,26,16,12,17,5,8,0,14,0,42
289,22,20,10,18,7,9,1,16,0,42
290,25,15,9,21,11,8,1,9,0,40
291,19,28,8,20,7,9,0,11,0,47
292,21,22,9,29,11,10,0,12,0,43
293,17,30,7,17,4,10,0,14,0,47
294,23,22,7,20,5,9,0,11,0,45
295,18,23,7,26,12,7,1,14,0,41
296,19,33,3,17,6,9,2,12,0,52
297,25,20,15,28,7,7,1,11,0,45
298,22,21,11,20,4,8,2,9,0,43
299,17,26,14,24,7,9,0,9,0,43
300,22,24,8,24,9,11,0,15,2,46
301,19,22,11,19,9,11,1,14,1,41
302,22,25,12,16,5,7,0,14,0,47
303,21,26,2,23,12,9,1,13,0,47
304,21,24,10,22,8,11,0,12,0,45
305,20,18,14,19,6,6,0,11,0,38
306,22,21,8,23,12,11,1,11,0,43
307,24,29,13,23,4,7,1,10,0,53
308,25,22,14,19,5,8,0,13,0,47
309,18,30,12,25,10,8,0,15,0,48
310,25,18,7,21,8,12,1,12,0,43
311,24,23,15,21,6,7,1,13,0,47
312,18,25,16,22,8,9,0,10,0,43
313,24,24,8,21,6,16,0,17,0,48
314,22,23,7,20,6,7,1,8,0,45
315,22,22,8,21,7,6,0,12,0,44
316,29,24,6,27,7,8,0,16,0,53
317,22,23,11,19,8,6,0,10,0,45
318,25,28,1,22,6,8,0,10,0,53
319,22,16,7,15,6,8,0,12,0,38
320,17,26,13,21,7,13,1,12,0,43
321,25,22,16,26,5,9,0,11,0,47
322,11,30,10,30,13,13,0,11,0,41
323,16,29,18,27,5,9,1,10,0,45
324,20,18,14,24,8,10,0,16,0,38
325,17,30,8,16,6,12,0,16,0,47
326,18,22,15,16,5,9,1,10,0,40
327,29,17,9,17,3,8,0,13,0,46
328,23,20,15,24,8,10,0,12,0,43
329,18,24,8,19,12,13,0,11,0,42
330,24,23,12,22,7,12,1,16,0,47
331,23,27,9,24,9,11,0,13,0,50
332,18,23,11,19,7,12,0,15,0,41
333,20,23,12,21,4,9,0,13,0,43
334,25,25,7,27,4,5,1,10,0,50
335,20,26,4,18,6,6,0,13,0,46
336,24,28,6,22,7,8,1,19,0,52
337,24,19,4,18,8,10,0,10,0,43
338,25,20,16,17,4,10,0,16,0,45
339,26,20,16,19,2,11,0,11,0,46
340,11,25,10,19,11,10,0,11,0,36
341,19,21,8,24,7,10,1,12,0,40
342,25,20,5,16,6,2,0,8,0,45
343,21,24,3,26,13,8,0,15,0,45
344,25,22,9,25,5,7,0,8,0,47
345,21,19,6,13,9,8,1,10,0,40
346,20,25,13,24,6,9,0,11,0,45
347,19,26,12,22,7,9,0,11,0,45
348,20,29,6,21,4,17,0,12,0,49
349,15,20,19,26,9,8,1,12,0,35
350,23,23,7,23,6,10,0,9,0,46
351,22,25,9,24,5,6,2,15,0,47
352,24,23,5,20,9,11,1,13,0,47
353,28,18,11,18,6,6,0,18,0,46
354,23,21,12,23,7,8,0,10,0,44
355,21,29,7,28,10,9,0,9,0,50
356,24,19,8,14,7,12,0,14,0,43
357,22,20,13,23,10,11,1,15,0,42
358,20,27,9,20,7,10,1,12,0,47
359,21,21,15,25,8,10,0,14,0,42
360,18,23,12,17,10,21,0,14,0,41
361,20,20,23,23,5,12,0,13,0,40
362,24,25,5,22,4,7,0,10,0,49
363,24,29,2,27,7,5,0,15,0,53
364,22,29,10,27,4,8,0,9,0,51
365,19,24,8,23,6,12,0,13,0,43
366,16,25,15,21,7,9,0,14,0,41
367,13,26,13,22,6,14,0,11,0,39
368,24,23,4,20,5,13,0,14,0,47
369,23,23,16,26,5,5,0,13,0,46
370,21,20,13,22,7,9,0,10,0,41
371,19,31,7,21,3,11,1,15,0,50
372,20,26,6,22,7,9,0,15,0,46
373,21,23,6,22,8,8,0,17,0,44
374,30,21,19,24,2,10,1,12,0,51
375,15,28,13,16,12,15,1,17,0,43
376,19,25,8,27,5,5,0,15,0,44
377,23,26,7,24,1,9,1,9,0,49
378,25,19,13,19,5,12,0,14,0,44
379,22,20,15,19,6,12,0,13,0,42
380,16,26,13,13,10,10,0,12,0,42
381,28,11,9,20,9,10,0,14,0,39
382,28,24,9,24,4,8,0,12,0,52
383,17,27,12,20,8,8,0,14,0,44
384,25,22,7,23,10,8,0,12,0,47
385,23,30,9,25,8,9,1,10,0,53
386,22,24,6,22,4,8,0,14,0,46
387,22,23,17,25,2,4,1,11,0,45
388,21,21,11,15,5,12,1,14,0,42
389,22,19,11,22,6,10,2,15,1,41
390,23,18,15,22,8,9,0,9,0,41
391,19,27,10,21,6,10,1,13,0,46
392,22,18,11,19,4,9,0,13,0,40
393,20,28,7,23,4,11,0,10,0,48
394,26,19,11,28,5,8,1,17,0,45
395,18,29,13,18,4,11,1,15,0,47
396,29,24,2,15,0,7,0,10,0,53
397,28,19,9,25,5,4,0,11,0,47
398,24,18,11,17,2,9,0,10,0,42
399,19,19,9,18,5,9,0,11,0,38
400,20,33,12,27,3,11,1,10,0,53
401,21,19,15,21,8,11,0,11,0,40
402,27,19,11,25,4,10,0,16,0,46
403,19,25,14,18,6,10,0,9,0,44
404,25,23,20,17,7,11,0,14,0,48
405,33,20,12,22,7,14,0,10,0,53
406,22,19,6,18,8,10,1,11,0,41
407,28,22,5,17,4,8,0,8,0,50
408,20,25,4,17,9,12,0,13,0,45
