,GAME_ID,TEAM_NAME,WL
223,0022300159,76ers,W
224,0022300157,Hornets,L
225,0022300161,Spurs,L
226,0022300163,Rockets,W
227,0022300167,Cavaliers,L
228,0022300168,Mavericks,L
229,0022300170,Kings,W
230,0022300168,Raptors,W
231,0022300167,Thunder,W
232,0022300157,Wizards,W
233,0022300165,Pistons,L
234,0022300172,Hawks,W
235,0022300172,Magic,L
236,0022300171,Pacers,W
237,0022300171,Bucks,L
238,0022300016,Thunder,L
239,0022300011,Rockets,W
240,0022300014,Mavericks,W
241,0022300015,Lakers,W
242,0022300013,Spurs,L
243,0022300016,Kings,W
244,0022300014,Clippers,L
245,0022300009,Hornets,W
246,0022300008,Pistons,L
247,0022300012,Grizzlies,L
248,0022300013,Timberwolves,W
249,0022300012,Jazz,W
250,0022300008,76ers,W
251,0022300011,Pelicans,L
252,0022300015,Suns,L
253,0022300010,Nets,L
254,0022300009,Wizards,L
255,0022300010,Celtics,W
256,0022300174,Celtics,W
257,0022300176,Cavaliers,W
258,0022300176,Warriors,L
259,0022300175,Hawks,L
260,0022300174,Raptors,L
261,0022300173,Bucks,L
262,0022300175,Heat,W
263,0022300173,Magic,W
264,0022300179,Clippers,L
265,0022300178,Nets,W
266,0022300177,Hornets,L
267,0022300177,Knicks,W
268,0022300186,Timberwolves,W
269,0022300183,Pelicans,L
270,0022300180,76ers,W
271,0022300179,Grizzlies,W
272,0022300187,Lakers,W
273,0022300183,Mavericks,W
274,0022300182,Nuggets,L
275,0022300181,Pistons,L
276,0022300186,Warriors,L
277,0022300180,Pacers,L
278,0022300181,Bulls,W
279,0022300187,Trail Blazers,L
280,0022300184,Heat,W
281,0022300185,Thunder,W
282,0022300182,Rockets,W
283,0022300178,Wizards,L
284,0022300185,Suns,L
285,0022300184,Spurs,L
286,0022300189,Wizards,L
287,0022300188,Knicks,L
288,0022300190,Bucks,W
289,0022300190,Bulls,L
290,0022300191,Kings,W
291,0022300188,Celtics,W
292,0022300191,Cavaliers,L
293,0022300189,Raptors,W
294,0022300019,76ers,L
295,0022300018,Hawks,W
296,0022300020,Nets,W
297,0022300018,Pistons,L
298,0022300026,Grizzlies,L
299,0022300020,Magic,L
300,0022300022,Mavericks,L
301,0022300017,Hornets,L
302,0022300017,Heat,W
303,0022300025,Warriors,L
