,FIELD_GOAL_MADE,FIELD_GOAL_MISSED,FREE_THROW,REBOUND,TURNOVER,FOUL,SUBSTITUTION
0,0.45,0.6349206349206349,0.2857142857142857,0.42105263157894735,0.3076923076923077,0.6818181818181818,0.5185185185185185
1,0.55,0.36507936507936506,0.7142857142857143,0.5789473684210527,0.6923076923076923,0.3181818181818182,0.48148148148148145
2,0.4782608695652174,0.5294117647058824,0.35294117647058826,0.5,0.5,0.8,0.5416666666666666
3,0.5217391304347826,0.47058823529411764,0.6470588235294118,0.5,0.5,0.2,0.4583333333333333
4,0.46808510638297873,0.4444444444444444,0.85,0.5319148936170213,0.5833333333333334,0.35,0.5185185185185185
5,0.5319148936170213,0.5555555555555556,0.15,0.46808510638297873,0.4166666666666667,0.65,0.48148148148148145
6,0.4909090909090909,0.37209302325581395,0.5333333333333333,0.5365853658536586,0.7142857142857143,0.5,0.5416666666666666
7,0.509090909090909,0.627906976744186,0.4666666666666667,0.4634146341463415,0.2857142857142857,0.5,0.4583333333333333
8,0.5555555555555556,0.5813953488372093,0.45,0.6428571428571429,0.4444444444444444,0.5789473684210527,0.4
9,0.4444444444444444,0.4186046511627907,0.55,0.35714285714285715,0.5555555555555556,0.42105263157894735,0.6
10,0.41304347826086957,0.49019607843137253,0.7692307692307693,0.5192307692307693,0.5384615384615384,0.35,0.48
11,0.5869565217391305,0.5098039215686274,0.23076923076923078,0.4807692307692308,0.46153846153846156,0.65,0.52
12,0.4222222222222222,0.574468085106383,0.5,0.40476190476190477,0.4782608695652174,0.5714285714285714,0.5
13,0.5777777777777777,0.425531914893617,0.5,0.5952380952380952,0.5217391304347826,0.42857142857142855,0.5
14,0.5405405405405406,0.4,0.2857142857142857,0.5102040816326531,0.6363636363636364,0.5882352941176471,0.5
15,0.4594594594594595,0.6,0.7142857142857143,0.4897959183673469,0.36363636363636365,0.4117647058823529,0.5
16,0.4722222222222222,0.6,0.38095238095238093,0.391304347826087,0.35294117647058826,0.4782608695652174,0.5416666666666666
17,0.5277777777777778,0.4,0.6190476190476191,0.6086956521739131,0.6470588235294118,0.5217391304347826,0.4583333333333333
18,0.5306122448979592,0.4888888888888889,0.44,0.5,0.4666666666666667,0.55,0.5333333333333333
19,0.46938775510204084,0.5111111111111111,0.56,0.5,0.5333333333333333,0.45,0.4666666666666667
20,0.47368421052631576,0.46938775510204084,0.30434782608695654,0.5625,0.7777777777777778,0.6,0.4827586206896552
21,0.5263157894736842,0.5306122448979592,0.6956521739130435,0.4375,0.2222222222222222,0.4,0.5172413793103449
22,0.5,0.42,0.4375,0.48,0.6,0.5238095238095238,0.5652173913043478
23,0.5,0.58,0.5625,0.52,0.4,0.47619047619047616,0.43478260869565216
24,0.525,0.4166666666666667,0.4642857142857143,0.4888888888888889,0.5555555555555556,0.48,0.5333333333333333
25,0.475,0.5833333333333334,0.5357142857142857,0.5111111111111111,0.4444444444444444,0.52,0.4666666666666667
26,0.5294117647058824,0.5,0.3939393939393939,0.42857142857142855,0.46153846153846156,0.5833333333333334,0.5517241379310345
27,0.47058823529411764,0.5,0.6060606060606061,0.5714285714285714,0.5384615384615384,0.4166666666666667,0.4482758620689655
28,0.5609756097560976,0.4722222222222222,0.4594594594594595,0.6097560975609756,0.5333333333333333,0.5,0.5555555555555556
29,0.43902439024390244,0.5277777777777778,0.5405405405405406,0.3902439024390244,0.4666666666666667,0.5,0.4444444444444444
30,0.5135135135135135,0.5208333333333334,0.5,0.5510204081632653,0.4117647058823529,0.4090909090909091,0.4782608695652174
31,0.4864864864864865,0.4791666666666667,0.5,0.4489795918367347,0.5882352941176471,0.5909090909090909,0.5217391304347826
32,0.5111111111111111,0.46511627906976744,0.68,0.5348837209302325,0.46153846153846156,0.2857142857142857,0.45454545454545453
33,0.4888888888888889,0.5348837209302325,0.32,0.46511627906976744,0.5384615384615384,0.7142857142857143,0.5454545454545454
34,0.5476190476190477,0.5897435897435898,0.45454545454545453,0.5588235294117647,0.4444444444444444,0.5217391304347826,0.5454545454545454
35,0.4523809523809524,0.41025641025641024,0.5454545454545454,0.4411764705882353,0.5555555555555556,0.4782608695652174,0.45454545454545453
36,0.4888888888888889,0.5217391304347826,0.45454545454545453,0.5454545454545454,0.5294117647058824,0.6,0.45454545454545453
37,0.5111111111111111,0.4782608695652174,0.5454545454545454,0.45454545454545453,0.47058823529411764,0.4,0.5454545454545454
38,0.5217391304347826,0.5111111111111111,0.5833333333333334,0.5238095238095238,0.4375,0.47058823529411764,0.5185185185185185
39,0.4782608695652174,0.4888888888888889,0.4166666666666667,0.47619047619047616,0.5625,0.5294117647058824,0.48148148148148145
40,0.5217391304347826,0.5121951219512195,0.5384615384615384,0.5405405405405406,0.4,0.55,0.5
41,0.4782608695652174,0.4878048780487805,0.46153846153846156,0.4594594594594595,0.6,0.45,0.5
42,0.5,0.5106382978723404,0.23529411764705882,0.40476190476190477,0.4375,0.5882352941176471,0.5384615384615384
43,0.5,0.48936170212765956,0.7647058823529411,0.5952380952380952,0.5625,0.4117647058823529,0.46153846153846156
44,0.4444444444444444,0.6,0.5217391304347826,0.4444444444444444,0.4230769230769231,0.52,0.4230769230769231
45,0.5555555555555556,0.4,0.4782608695652174,0.5555555555555556,0.5769230769230769,0.48,0.5769230769230769
46,0.42857142857142855,0.543859649122807,0.6,0.4716981132075472,0.4666666666666667,0.5,0.5517241379310345
47,0.5714285714285714,0.45614035087719296,0.4,0.5283018867924528,0.5333333333333333,0.5,0.4482758620689655
48,0.5,0.5471698113207547,0.7777777777777778,0.4897959183673469,0.42105263157894735,0.3888888888888889,0.48
49,0.5,0.4528301886792453,0.2222222222222222,0.5102040816326531,0.5789473684210527,0.6111111111111112,0.52
